nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
México,126014024,1964375,América
Egipto,102334404,1002450,África
Nigeria,206139589,923768,África
Etiopía,114963588,1104300,África
China,1439323776,9596961,Asia
India,1380004385,3287263,Asia
Indonesia,273523615,1904569,Asia
Pakistán,220892340,881912,Asia
Bangladesh,164689383,147570,Asia
Rusia,145934462,17098242,Asia
Filipinas,109581078,300000,Asia
Vietnam,97338579,331212,Asia
Turquía,84339067,783562,Asia
Irán,83992949,1648195,Asia
Tailandia,69799978,513120,Asia
Myanmar,54409800,676578,Asia
Corea del Sur,51269185,100210,Asia
Irak,40222493,438317,Asia
Afganistán,38928346,652230,Asia
Arabia Saudita,34813871,2149690,Asia
Uzbekistán,33469203,447400,Asia
Malasia,32365999,330803,Asia
Nepal,29136808,147181,Asia
Yemen,29825964,527968,Asia
Corea del Norte,25778816,120538,Asia
Sri Lanka,21413249,65610,Asia
Kazajistán,18776707,2724900,Asia
Siria,17500658,185180,Asia
Camboya,16718965,181035,Asia
Jordania,10203134,89342,Asia
Azerbaiyán,10139177,86600,Asia
Emiratos Árabes Unidos,9890402,83600,Asia
Tayikistán,9537645,143100,Asia
Israel,8655535,20770,Asia
Laos,7275560,236800,Asia
Singapur,5850342,719,Asia
Omán,5106626,309500,Asia
Kuwait,4270571,17818,Asia
Georgia,3989167,69700,Asia
Mongolia,3278290,1564116,Asia
Armenia,2963243,29743,Asia
Qatar,2881053,11586,Asia
Baréin,1701575,760,Asia
Timor Oriental,1318445,14874,Asia
Chipre,1207359,9251,Asia
Bután,771608,38394,Asia
Brunéi,437479,5765,Asia
Maldivas,540544,298,Asia
